Arapahoe Library District,ALD,9arap,330,6
Auraria,AUR,9aurp,330,8
Aurora Public Library,APL,9arrp,330,6
Boulder Public Library,BPL,9bldr,330,5
Boulder and Louisville,Broomfield,BLB,9bblp,330,5
Broomfield Public Library,MDE,9mdel,330,5
Center for Research Libraries,crl,cr0zz,330,4
Colorado School Mines,CSM,9csmp,330,7
Colorado College,CC,9cocp,330,7
Colorado State Publications,colorado publications,9cspu,330,10
Colorado State University,CSU,9csup,330,10
Colorado State University-Pueblo,CSU-Pueblo,9cspp,330,7
Denver Public Library,DPL,9dplp,330,6
Fort Collins Public Library,FCPL,9fcpp,330,6
Fort Lewis College,FTL,9ftlp,330,8
Jeffco Public,JCPL,9jcp,330,6
Louisville Public Library,LSV,9lsvl,330,6
Colorado Mesa University,MSC,9mscp,330,7
Regis University,REG,9rgsp,330,7
University of Denver,DU,9dupp,330,8
University of Denver Law,DU-L,9dulp,330,9
University of Northern Colorado,UNC,9uncp,330,8
University of Wyoming,UWY,9uwyp,330,8
University of Colorado-Boulder,CUB,9cubp,330,10
University of Colorado-Boulder Law,CU-L,9culp,330,9
University of Colorado-Colorado Springs,UCCS,9uccp,330,7
University of Colorado-Health Sciences,UCHSC,9hscp,330,9